question	answer	description 
通貨ユーロは何年に導入されましたか？	1999年	ユーロは1999年に電子通貨として導入され、2002年に紙幣と硬貨が流通を開始しました。 
日本の文学作品『坊っちゃん』を書いた作家は誰？	夏目漱石	1906年に夏目漱石によって書かれた小説です。 
地球の大気中で最も多い気体は何？	窒素	地球の大気の約78%は窒素で構成されており、次いで酸素（約21%）が多く含まれます。 
フィボナッチ数列で最初の6つの数字を順に挙げよ。	0, 1, 1, 2, 3, 5	それぞれの項が前の2つの項の和となる数列です。1+1=2, 1+2=3など。 
「世界三大宗教」キリスト教、イスラム教、あと一つは？	仏教	世界三大宗教は、それぞれ多くの信者を持ちます。 
ピカソが生まれた国はどこ？	スペイン	パブロ・ピカソはスペインのマラガで生まれ、その後フランスでも活動しました。 
元素記号で「Au」と表される元素は何？	金	貴金属で、美術品や装飾品、また電子機器の材料として使用されます。 
世界で最も長い川は何？	ナイル川	ナイル川は約6,650kmに及びます。 
音速は約何m/s？	約343m/s	標準的な大気条件下では約343m/sです。 
一般に、光の速さは約何km/s？	約30万km/s	物理学での基本的な定数として使われます。 
ギリシャ神話において、海の神とされるのは誰？	ポセイドン	ギリシャ神話に登場する海や地震の神で、三叉の槍を持っています。 
アメリカ合衆国で最初の大統領は誰？	ジョージ・ワシントン	アメリカ初代大統領で、独立戦争における指導的役割で知られています。 
日本の都道府県の中で、最も面積が大きいのはどこ？	北海道	日本の最北端に位置する都道府県で、面積は約83,000平方キロメートルです。 
世界で最も人口が多い国はどこ？	中国	世界最大の人口を持つ国で、約14億人が居住しています。 
ノーベル賞が授与される国はどこ？	スウェーデン	スウェーデンで授与されますが、平和賞はノルウェーのオスロで授与されます。 
世界遺産の一つ、姫路城がある都道府県はどこ？	兵庫県	別名「白鷺城」。1993年に世界遺産に登録されました。 
サッカーでワールドカップが初めて開催された年はいつ？	1930年	初のサッカー・ワールドカップは1930年にウルグアイで開催されました。 
モナリザを描いた芸術家の名前は？	レオナルド・ダ・ヴィンチ	レオナルド・ダ・ヴィンチによって描かれた世界的に有名な肖像画です。 
世界で最も高い山は何？	エベレスト山	ネパールと中国の国境に位置する山で、その標高は約8,848メートルです。 
ピアノには通常いくつの鍵盤がありますか？	88鍵	通常、白鍵52個と黒鍵36個の合計88個の鍵盤があります。 
化学式「H2O」は何を表しますか？	水	2つの水素原子と1つの酸素原子から成る分子で、地球上で最も重要な物質の一つです。 
アルファベットの最初の文字は何？	A	アルファベットはAから始まり、Zで終わる26文字から構成されています。 
ローマ帝国の初代皇帝の名前は何？	アウグストゥス	ローマ帝国の初代皇帝で、元老院から「尊厳ある者」という称号を授かりました。 
日本で使われる紙幣の中で最高額のものはいくら？	1万円札	日本では1万円札が最高額の紙幣です。 
オリンピックは通常何年ごとに開催されますか？	4年ごと	1896年のアテネ大会以降、4年ごとに夏季と冬季が交互に開催されます。 
太陽系の中で最も大きな惑星は何？	木星	太陽系で最も大きな惑星で、質量は他の惑星の合計を上回ります。 
フランス革命が起きた年はいつ？	1789年	フランス社会の大きな転換点となりました。 
血液型が分かる基本的な4つの型は何？	A型、B型、O型、AB型	遺伝によって決まります。 
オーストラリアの首都はどこ？	キャンベラ	シドニーやメルボルンではありません。 
日本の国旗に描かれている円は何を表していますか？	太陽	「日の丸」は、中央の赤い円が太陽を象徴しています。 
アインシュタインが発表した相対性理論の正式名称は何？	特殊相対性理論	1905年に提唱され、光速の不変性と時間と空間の関係を説明する理論です。 
ピラミッドを建設した文明はどこの国のもの？	エジプト	古代文明の象徴的な建造物で、主に王の墓として建設されました。 
日本で最も深い湖はどこ？	田沢湖	秋田県に位置し、最大深度は約423メートルで深さ日本一です。 
