question	answer	description
空に輝いている昼間の光は何？	太陽	昼間に光を届けてくれます。
夜に空で光っている小さな点々は何？	星	夜空を飾る自然の光です。
冬に降ってくる白いふわふわしたものは何？	雪	冬の寒い日に降ります。
暑い日に食べる冷たくて甘いデザートは何？	アイスクリーム	暑い日にぴったりの冷たいお菓子です。
果物で赤くて丸いものは何？	りんご	甘酸っぱくてサクサク食べられる果物です。
日本で一番高い山は何？	富士山	日本を象徴する美しい山です。
学校の黒板に文字を書くのに使うものは何？	チョーク	黒板に文字を書くための道具です。
赤くて汁が出る野菜は何？	トマト	果物とも言われる野菜です。
食べるために使う道具で二本の棒を使うものは何？	箸	日本の食事に欠かせない道具です。
雨の日に頭の上に広げて使うものは何？	傘	濡れるのを防ぐために使います。
「朝ごはん」「昼ごはん」「夜ごはん」のうち、最後に食べるのは何？	夜ごはん	一日の締めくくりの食事です。
お金を持ち歩くために使うものは何？	財布	お金をしまっておく道具です。
夜になると光る電灯は何？	街灯	夜道を明るくします。
冷たい水を入れる容器は何？	コップ	飲み物を入れるための道具です。
空を自由に飛べる生き物は何？	鳥	翼を使って飛びます。
丸い形をした時間を教えてくれる道具は何？	時計	時刻を示すための道具です。
朝、目を覚ますときに鳴るものは何？	目覚まし時計	時間を知らせてくれる道具です。
果物で黄色くて甘い、長い形のものは何？	バナナ	手で簡単に皮をむいて食べられます。
学校で使う、文字を書くための道具は何？	鉛筆	紙に文字を書くための道具です。
夏に吹く涼しい風を感じられる道具は何？	扇風機	暑い日に使う風を起こす道具です。
春に咲くピンク色の花は何？	桜	日本を象徴する花です。
寒い日に使う、体を温める道具は何？	カイロ	手や体を温めるための道具です。
地球上で一番面積が広い海は何？	太平洋	世界で最大の海洋です。
日本の通貨の単位は何？	円	お金の単位です。
食べ物を作るときに火を使う道具は何？	コンロ	料理をするための道具です。
晴れた日に空にある青いものは何？	空	美しい青色が広がっています。
冬になると地面を真っ白にするものは何？	雪	寒い季節に降る自然現象です。
木の実で茶色くて硬い殻がある食べ物は何？	くるみ	殻を割ると中身が食べられます。
夏休みに海に行くときに持っていく遊び道具は何？	浮き輪	海で遊ぶための道具です。
夜空に大きく黄色く光る丸いものは何？	月	夜空を照らす存在です。
暑い日に外で食べるときに使う簡易的な道具は何？	お弁当箱	食べ物を詰める容器です。
緑色で長くて、サラダに使う野菜は何？	きゅうり	シャキシャキした食感が特徴です。
学校の運動場で遊ぶために使う丸い道具は何？	ボール	キャッチボールなどに使います。
日本でお正月に食べる伝統的な料理は何？	おせち料理	新年を祝う特別な料理です。
木から取れる果物で甘くて酸っぱいものは何？	みかん	冬に人気の果物です。
雨の後に空に見える七色の橋のようなものは何？	虹	自然が作り出す美しい現象です。
日本で一番北にある都道府県は何？	北海道	日本列島の最北端です。
飲み物を飲むときに使うものは何？	ストロー	液体を吸い上げるための道具です。
道を渡るとき赤くなると止まらないといけないものは何？	信号機	交通のルールを示します。
食べ物を焼くために使う道具は何？	グリル	火で焼くための調理器具です。
日本の国旗に描かれている丸い形は何色？	赤色	太陽を表す色です。
小さな文字を大きく見せる道具は何？	虫眼鏡	拡大して見ることができます。
寒い日に体を温めるために使う大きな道具は何？	ストーブ	部屋を暖めるための家電です。
お風呂で体を洗うために使う道具は何？	スポンジ	泡立てて汚れを落とします。
飛んでいるのに生き物ではないものは何？	飛行機	空を移動するための乗り物です。
植物を育てるために使う水を出す道具は何？	じょうろ	水を注ぐための道具です。
日本で最も古い歴史書の名前は何？	古事記	日本の神話や歴史が記されています。
ピザの上に乗っている伸びる白い食品は何？	チーズ	ピザの具材として使われます。
空から降ってくるけど飲める液体は何？	雨	自然が提供する水分です。
